route_id,agency_id,route_short_name,route_type,route_color
43,sfagency_001,TM27,0,F7941F
117,sfagency_001,TB10,11,2AA9E0
163,sfagency_002,A66,3,BD202E
54,sfagency_001,TM24,0,F7941F
157,sfagency_002,A75,3,BD202E
53,sfagency_002,A32,3,BD202E
4,sfagency_002,A44,3,BD202E
128,sfagency_002,A12,3,BD202E
125,sfagency_002,A65,3,BD202E
119,sfagency_002,A29,3,BD202E
76,sfagency_002,A26,3,BD202E
2,sfagency_002,A4,3,BD202E
136,sfagency_001,TB2,11,2AA9E0
154,sfagency_001,TM29,0,F7941F
146,sfagency_002,A3,3,BD202E
40,sfagency_002,A34,3,BD202E
31,sfagency_002,A35,3,BD202E
121,sfagency_002,A36,3,BD202E
95,sfagency_001,TM33,0,F7941F
142,sfagency_002,A38,3,BD202E
19,sfagency_002,A37,3,BD202E
64,sfagency_002,A76,3,BD202E
56,sfagency_001,TM40,0,F7941F
22,sfagency_002,A103,3,BD202E
65,sfagency_001,TM34,0,F7941F
126,sfagency_002,A41,3,BD202E
41,sfagency_002,A220,3,BD202E
45,sfagency_001,TB9,11,2AA9E0
25,sfagency_002,A40,3,BD202E
173,sfagency_001,TM20,0,F7941F
36,sfagency_002,A84,3,BD202E
73,sfagency_002,A172,3,BD202E
32,sfagency_002,A42,3,BD202E
99,sfagency_002,A85,3,BD202E
90,sfagency_002,A43,3,BD202E
150,sfagency_001,TM22,0,F7941F
132,sfagency_001,TM47,0,F7941F
68,sfagency_001,TM50,0,F7941F
134,sfagency_002,A45,3,BD202E
148,sfagency_002,A46,3,BD202E
63,sfagency_002,A48,3,BD202E
165,sfagency_002,A108,3,BD202E
70,sfagency_001,TM55,0,F7941F
168,sfagency_002,A104,3,BD202E
139,sfagency_002,A49,3,BD202E
166,sfagency_002,A58,3,BD202E
30,sfagency_002,A201,3,BD202E
100,sfagency_002,A50,3,BD202E
123,sfagency_002,A167,3,BD202E
61,sfagency_001,TB32,11,2AA9E0
158,sfagency_001,TM28,0,F7941F
164,sfagency_002,A68,3,BD202E
38,sfagency_002,A109,3,BD202E
20,sfagency_002,A217,3,BD202E
86,sfagency_002,A87,3,BD202E
59,sfagency_002,A59,3,BD202E
85,sfagency_002,A13,3,BD202E
103,sfagency_002,A60,3,BD202E
129,sfagency_002,A200,3,BD202E
55,sfagency_001,TM51,0,F7941F
96,sfagency_002,A69,3,BD202E
143,sfagency_001,TB1,11,2AA9E0
46,sfagency_002,A100,3,BD202E
34,sfagency_002,A90,3,BD202E
153,sfagency_002,A101,3,BD202E
37,sfagency_002,A31,3,BD202E
93,sfagency_002,A262,3,BD202E
91,sfagency_002,A193,3,BD202E
113,sfagency_002,A195,3,BD202E
104,sfagency_002,A70,3,BD202E
107,sfagency_001,TB3,11,2AA9E0
108,sfagency_001,TM25,0,F7941F
27,sfagency_002,A98,3,BD202E
115,sfagency_002,A22,3,BD202E
88,sfagency_002,A24,3,BD202E
94,sfagency_002,A105,3,BD202E
84,sfagency_001,TM32,0,F7941F
170,sfagency_001,TB6,11,2AA9E0
169,sfagency_002,A91,3,BD202E
69,sfagency_002,A61,3,BD202E
138,sfagency_002,A25,3,BD202E
71,sfagency_002,A6,3,BD202E
13,sfagency_002,A63,3,BD202E
147,sfagency_002,A77,3,BD202E
127,sfagency_002,A106,3,BD202E
87,sfagency_002,A78,3,BD202E
144,sfagency_001,TB44,11,2AA9E0
51,sfagency_001,TM30,0,F7941F
81,sfagency_001,TB7,11,2AA9E0
124,sfagency_002,A72,3,BD202E
156,sfagency_002,A79,3,BD202E
175,sfagency_002,A1,3,BD202E
10,sfagency_002,A80,3,BD202E
141,sfagency_002,A81,3,BD202E
17,sfagency_002,A8,3,BD202E
109,sfagency_002,A52,3,BD202E
24,sfagency_002,A53,3,BD202E
9,sfagency_001,TB4,11,2AA9E0
82,sfagency_002,A74,3,BD202E
145,sfagency_001,TM23,0,F7941F
21,sfagency_002,TB41,3,BD202E
7,sfagency_002,A253,3,BD202E
171,sfagency_002,A254,3,BD202E
11,sfagency_002,A255,3,BD202E
161,sfagency_002,A256,3,BD202E
116,sfagency_002,A27,3,BD202E
44,sfagency_002,A54,3,BD202E
172,sfagency_002,A9,3,BD202E
151,sfagency_002,A99,3,BD202E
102,sfagency_002,A55,3,BD202E
26,sfagency_002,A56,3,BD202E
130,sfagency_002,A82,3,BD202E
5,sfagency_001,TB8,11,2AA9E0
77,sfagency_002,A2,3,BD202E
52,sfagency_002,A110,3,BD202E
133,sfagency_002,A57,3,BD202E
49,sfagency_002,A28,3,BD202E
28,sfagency_002,TB24,3,BD202E
33,sfagency_002,TB43,3,BD202E
29,sfagency_002,TB33,3,BD202E
120,sfagency_002,TB35,3,BD202E
101,sfagency_002,TB39,3,BD202E
12,sfagency_002,TB36,3,BD202E
83,sfagency_003,M1,1,2B3C8F
6,sfagency_003,M2,1,2B3C8F
66,sfagency_003,M3,1,2B3C8F
137,sfagency_003,M4,1,2B3C8F
111,sfagency_002,A224,3,000000
35,sfagency_002,A225,3,000000
114,sfagency_002,A226,3,000000
60,sfagency_002,A227,3,000000
67,sfagency_002,A251,3,BD202E
97,sfagency_002,A259,3,BD202E
162,sfagency_002,A252,3,BD202E
112,sfagency_002,A242,3,BD202E
110,sfagency_002,A243,3,BD202E
