stop_id, stop_code, stop_name, stop_lat, stop_lon
0377,0377,Бул. Сливница,42.7061688732,23.3177415907
2062,2062,Ул. Нишава,42.6699401558,23.3039075813
0209,0209,Бл. 41 Ж.к. Младост-1,42.6565861129,23.3762590811
1297,1297,Пл. Руски Паметник,42.691712645,23.3112526607
1360,1360,Махала Чемерник - По Желание,42.5262013797,23.3681773435
0042,0042,66-то Соу,42.6726462981,23.2621997099
1879,1879,Ул. Вишнева,42.6784979682,23.3336892059
0665,0665,Ж.к. Младост-3,42.6389093006,23.3863062819
1925,1925,Ул. Димитър Петков,42.7000446825,23.2999472582
2454,2454,Летище София Терминал 2,42.6885400724,23.4151026219
2014,2014,Вту Т. Каблешков,42.6789981935,23.3784691461
2804,2804,Бул. Акад. Ив. Ев. Гешов,42.6793572167,23.3013238807
0685,0685,Метростанция Горна Баня,42.6825524309,23.2418535382
0723,0723,Ул. Поручик Хр.топракчиев,42.6686281917,23.4124713319
1009,1009,Манастир Св. Йоаким И Ана - По Желание,42.5662752782,23.3635135254
1615,1615,Стадион Г. Аспарухов,42.7076314486,23.364429139
1903,1903,Ул. Ген. Гурко,42.6905962556,23.3320875471
0586,0586,Ж.к. Бъкстон,42.6586714718,23.2724820779
0778,0778,Ул. Инж. Георги Белов,42.6380643395,23.4064814946
0812,0812,Метростанция Мизия,42.6822761778,23.2553418353
2625,2625,Бизнес Парк София,42.6242842012,23.3710756894
0119,0119,109-то Оу,42.6901724263,23.370185877
1321,1321,Пл. Сточна Гара,42.7044227229,23.3305530643
1294,1294,Пл. Пирдоп,42.6991962386,23.3607397026
2028,2028,Ул. Ливадите - По Желание,42.8169178329,23.3738733508
2734,2734,Ул. 746 - По Желание,42.6953571792,23.2551444454
0273,0273,Бул. Акад. Ив. Гешов,42.6871036793,23.3006223819
0724,0724,Ул. Поручик Хр.топракчиев,42.6680919699,23.4130564069
1534,1534,Село Житен,42.8185986489,23.2512096656
6567,6567,Златни Мостове,42.6097336716,23.2357432499
0596,0596,Ж.к. Гео Милев,42.6771438096,23.3697691888
0672,0672,Ж.к. Мотописта,42.6692560608,23.2916983211
1333,1333,Централна Гара,42.7108035501,23.3201524136
2185,2185,Ул. Стара Планина,42.7295816368,23.5645775847
2563,2563,Метродепо,42.7364203872,23.2587987442
1125,1125,Начало Кв. Гниляне,42.8052043013,23.3783209039
2306,2306,Хипермаркет Била,42.7204000853,23.2556693398
2491,2491,Метростанция Бизнес Парк,42.6281652316,23.3734733651
1912,1912,Ул. Гоце Делчев,42.7125552583,23.2738657338
0283,0283,Бул. Ал. Стамболийски,42.6980153846,23.3094368313
1483,1483,Моста На Сухата Река,42.6210126022,23.3272712945
0647,0647,Пк Спартак,42.6755459399,23.31500977
0415,0415,Околовръстен Път - По Желание,42.6242590167,23.3576102676
0652,0652,Ж.к. Люлин-3,42.7205227807,23.2425686579
1247,1247,Парк Св.св.петър И Павел,42.6966811832,23.2962388784
1581,1581,Разклона За Кв. Враждебна,42.7082652511,23.3998467763
2153,2153,Ул. Радецки,42.6433561453,23.2811684482
2345,2345,Център С. Подгумер,42.8026759608,23.402534113
1981,1981,Ул. Кап. В. Данаджиев,42.713844132,23.2456931304
0870,0870,Ул. Топлика - По Желание,42.69015414,23.1191187763
1277,1277,Пл. Лъвов Мост,42.7045003218,23.3237772371
0096,0096,Нц По Рехабилитация,42.676541488,23.2680812619
0362,0362,Бул. Прага,42.6899353211,23.3134998631
2607,2607,Ул. Народен Герой,42.6743449357,23.2587520016
0297,0297,Бул. Васил Левски,42.6987779277,23.3354622368
0508,0508,Гробищен Парк Негован,42.7669039525,23.4087471239
1520,1520,Село Горни Богров,42.7175308857,23.5286931357
0210,0210,Бл. 41 Ж.к. Младост-1,42.6559122529,23.3751730982
0372,0372,Бул. Христофор Колумб,42.66055212,23.3920038613
0790,0790,Кантона - По Желание,42.7221277669,23.1926051815
1098,1098,Моста На Р. Искър,42.7090998745,23.418360224
1015,1015,Ж.к. Дървеница,42.6510421945,23.3589197689
1174,1174,Околовръстен Път,42.6230190711,23.4050448875
2290,2290,Селскостопанска Академия,42.6968315874,23.2649428656
2496,2496,По Желание (вердикал),42.722188127,23.1289991773
1130,1130,Начало С. Мърчаево,42.6113668693,23.1797545069
0017,0017,20-ти Дкц,42.6709796221,23.2823598946
0796,0796,Католически Гробищен Парк,42.715905427,23.3399336091
2104,2104,Ул. Планинец,42.6625314421,23.2532842289
0040,0040,60-то Оу,42.7418563433,23.3452879591
1696,1696,Ж.к. Изток,42.6715115198,23.3640521533
1330,1330,Централна Гара,42.7109274458,23.318960956
0696,0696,Гара Чепинци,42.765501177,23.4343481147
0635,0635,Ж.к. Красна Поляна,42.6907343137,23.2780600006
318,318,Горна Баня,42.6826955524,23.2419377918
0316,0316,Бул. Д-р Г. М. Димитров,42.6599533095,23.3490032614
1586,1586,Слатина Булгарплод,42.6788731149,23.3834011697
0382,0382,Бул. Христо Ботев,42.7057613701,23.3168798065
1942,1942,Ул. Стара Планина,42.7117287651,23.144348705
2250,2250,Ул. Цар Симеон,42.7052740101,23.2986409749
2087,2087,Ул. Опълченска,42.7053827349,23.3134857162
2130,2130,Ул. Поп Груйо,42.7023536593,23.3826230902
0250,0250,Бл. 7 Ж.к. Хр. Смирненски,42.6845182348,23.3767458315
2243,2243,Ул. Цар Борис Ііі,42.6543262797,23.4648824047
2208,2208,Ул. Т. Каблешков,42.6686231704,23.2764335528
0370,0370,Бул. Проф.цв. Лазаров,42.6737453876,23.3825748787
0554,0554,Държавна Печатница,42.6566505672,23.3848675678
1785,1785,Трънска Махала,42.6682609026,23.4246709055
1114,1114,Надлез Надежда,42.7148619678,23.3118620435
0036,0036,Кв. Гара Искър,42.6623105664,23.4149587569
0369,0369,Бул. Проф.цв. Лазаров,42.6734405446,23.3812072767
1536,1536,Село Житен,42.8182585009,23.2510456224
1259,1259,Площад На Авиацията,42.6693220846,23.36700023
2124,2124,Ул. Поп Груйо,42.7104120504,23.3795066961
0411,0411,Бл. 4 Ж.к. Сухата Река,42.699348966,23.3657708964
1308,1308,Пл. Св. Неделя,42.6970641383,23.3209704733
2335,2335,Централни Хали,42.6999140744,23.3237445376
1970,1970,Ул. Йосиф Щросмайер,42.7115489986,23.3007838247
2191,2191,Ул. Стоян Михайловски,42.6718255064,23.3366753159
2822,2822,Ул. Брезник,42.706076176,23.3585496662
0074,0074,Бул. Пейо Яворов,42.6823310345,23.3488875357
1386,1386,Подстанция Металургична - По Желание,42.7776608253,23.523581726
1673,1673,Стопанство Михайлово - По Желание,42.7005902253,23.1259719054
0519,0519,Депо Искър,42.6560862694,23.4144029874
2235,2235,Ул. Хемус,42.6835707941,23.3539577946
2333,2333,Централен Гробищен Парк,42.7115766996,23.3371456389
0029,0029,36-ти Пощенски Клон,42.7206654906,23.2527800844
0660,0660,Ж.к. Левски-г,42.7118753712,23.3799676997
2336,2336,Централни Хали,42.7000211046,23.3224143449
1394,1394,Българска Телеграфна Агенция,42.6858057701,23.3439424631
1649,1649,Махала Батареята,42.7092399774,23.4244204492
2530,2530,Разклона За Кв. Сеславци,42.7802977857,23.515103382
0418,0418,Вма,42.6847323033,23.3020618321
0620,0620,Ж.к. Западен Парк,42.7015947945,23.2765450203
1764,1764,Пгхмбт Проф. П. Райков,42.7324661401,23.3121003399
0856,0856,Кв. Кумарица - По Желание,42.8008450133,23.3413888996
0157,0157,Бл. 205 Ж.к. Младост-2,42.6417880692,23.3709429298
0169,0169,Метростанция Ал. Малинов,42.6461283494,23.3755543149
0448,0448,Гара Владая,42.622714005,23.1859705164
1374,1374,В.з. Малинова Долина,42.6241279155,23.3615212482
6156,6156,Бул. Луи Пастьор,42.7134470388,23.2662050949
0383,0383,Бул. Христо Ботев,42.700166143,23.3164153472
2353,2353,Нц По Радиобиология - По Желание,42.6323148842,23.3548198062
2849,2849,Ул. Чавдар Мутафов,42.6555851186,23.3333037298
0512,0512,Читалище Св.св. Кирил И Методий,42.7224485985,23.2697200253
1480,1480,Ул. Китен,42.625676112,23.1928350589
2433,2433,Бул. Брюксел,42.6636792899,23.3891140219
0486,0486,86-ти Пощенски Клон,42.6148017859,23.4155913087
0410,0410,Бл. 4 Ж.к. Сухата Река,42.6995846737,23.3673340865
2156,2156,Ул. Ресенска Поляна,42.7094387926,23.3452164912
0315,0315,Бул. Д-р Г. М. Димитров,42.6588929508,23.3449785082
0358,0358,Бул. Пенчо Славейков,42.6873631155,23.3111019879
